GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M5582,,Australia,Rocglen Coal Mine,Belmont Coal Project,,Whitehaven Coal Ltd,,,,"1,5",,,Surface,Open Pit,"3,66",60,Estimate,,,Bituminous,Thermal,2008,2019,End of mine life,Rehabilitation,,Gunnedah,,New South Wales,Australia and New Zealand,Oceania,"-30,7697578","150,2703171",Exact,,Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M0095,,Australia,Russell Vale Colliery,NRE No.1 Colliery,,Wollongong Resources Pty Ltd,,Jindal Group,"Australia, India","0,9","0,522",2023,Underground,Bord and Pillar,"6,4",500,Estimate,200,Exact,Bituminous,Met,1887,2023,Safety hazards,Unknown,Southern,Wollongong,,New South Wales,Australia and New Zealand,Oceania,"-34,35566","150,89169",Exact,Terminal (Export),Port Kembla Coal Terminal,https://www.gem.wiki/Port_Kembla_Coal_Terminal,"5,4","449,1",2024-25,national government data,,N,N,N
M5583,,Australia,Stratford Coal Mine,Stratford Mining Complex,,Stratford Coal Pty Ltd,,Yancoal Australia,"Australia, Japan",,"1,3",2023,Surface,Open Pit,15,60,Estimate,,,Bituminous,Thermal & Met,1995,2024,End of mine life,Unknown,,Gloucester,,New South Wales,Australia and New Zealand,Oceania,"-32,13533467","151,9511439",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M1782,,Australia,Sunnyside Coal Mine,,,Namoi Mining Pty Ltd (NMPL),,Whitehaven Coal Limited,,1,,,Surface,Open Pit,"56,85",65,Exact,37,Exact,Subbituminous,Thermal,2008,2019,End of mine life,Rehabilitation,Gunnedah,Gunnedah,,New South Wales,Australia and New Zealand,Oceania,"-30,975953","150,121288",Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,,,,N,N,N
M3697,,Australia,Wambo Open Cut Mine,,,Wambo Coal Pty Ltd,,Peabody Energy,USA,,"1,81",,Surface,Open Pit,"21,19",60,Estimate,,Estimate,Bituminous,Thermal & Met,1969,2020,,Unknown,Sydney,Warkworth,,New South Wales,Australia and New Zealand,Oceania,"-32,575524","151,006688",Exact,,,,,,,,,N,N,N
M0116,,Australia,Werris Creek Coal Mine,,,Werris Creek Coal Pty Ltd,,Whitehaven,Australia,"1,9","1,438",2023,Surface,Open Pit,,190,Exact,150,Exact,Bituminous,Thermal & Met,2005,2024,,Rehabilitation,,,,New South Wales,Australia and New Zealand,Oceania,"-31,40698","150,6395",Exact,,,,,,,,,N,N,N
M5584,,Australia,West Wallsend Colliery,,,Macquerie Coal Joint Venture,,Glencore,Switzerland,,"2,6",2014,Underground,Longwall,"11,83",360,Exact,221,Exact,Bituminous,Thermal & Met,1969,2016,Economically unviable,Rehabilitation,Newcastle,Lake Macquarie,,New South Wales,Australia and New Zealand,Oceania,"-32,93648915","151,5757203",Exact,Coal Plant,Eraring Power Station,https://www.gem.wiki/Eraring_power_station,,,,,,N,N,N
M1533,,Bhutan,Habrang Coal Mine,,,State Mining Corporation Limited [SMCL],,State Mining Corporation Limited [SMCL],Bhutan,"0,045","0,04",2016,Surface,Open Pit,"0,58",50,Estimate,281,Estimate,Subbituminous,Thermal,2016,2024,Reserve exhausted,Rehabilitation,,"Bhangtar, Samdrup Jongkhar Dzongkhag District, Bhutan",Bhangtar,Samdrup Jongkhar,Southern Asia,Asia,"26,90306949","91,67961198",Exact,Other Industrial,,,,,,,,N,N,N
M3231,,Hungary,PécsVasas Coal Mine,,,PANNON HŐERŐMŰ ZRT,,Veolia Group,Germany,"0,02",0,2022,Surface,Open Pit,"4,2",50,Estimate,299,Estimate,Lignite,Thermal,1975,2022,,,,Pecs,,Southern Transdanubia,Eastern Europe,Europe,"46,100144","18,289225",Exact,,,,,,,,,N,N,N
M1757,,Bosnia and Herzegovina,Livno Coal Mine,,,JP RU Tusnica d.o.o. Livno,,Government of Canton 10,Bosnia and Herzegovina,,"0,059",2006,Surface,Open Pit,,50,Estimate,,,Lignite,Thermal,1888,2015,Safety hazards,Abandoned,,Livno,,Canton 10,Southern Europe,Europe,"43,792589","16,87050538",Exact,Coal Plant,TPP Kakanj,https://www.gem.wiki/Kakanj_Thermal_Power_Plant,,,,,,N,N,N
