GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Owners,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,Mine Type,Mining Method,"Mine Size
(Km2)","Mine Depth
(m)",Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Opening Year,Closing Year,Reason for Closure,Mine Site Status,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Primary Consumer, Destination Name","Primary Consumer, Destination GEM Wiki",Reported Coal Mine Methane Emissions (thousand tonnes CH4),Reported Coal Mine Methane Emissions (thousand tonnes CO2 equivalent),Year of Reported Coal Mine Methane Emissions,Reference Type,Source ID,Has mine boundary and methane emissions sources data,Has associated plume data,Has associated CMM mitigation data
M6033,1202424,United States,Gray #1 - Blackfoot #5,,,"Sun Energy Group, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,Winslow,,Indiana,Northern America,Americas,"38,397778","-87,216111",Approximate,,,,,,,,,N,N,N
M6034,1519728,United States,Gregory Branch Mine,,,"Locust Grove, Inc.",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Hazard,,Kentucky,Northern America,Americas,"37,217222","-83,1525",Approximate,,,,,,,,,N,N,N
M3477,3610263,United States,Gurdish Coal Mine,,,Amerikohl Mining,,natural persons [100%],USA,,0,,Surface,Open Pit,,75,Estimate,,Estimate,Bituminous,,,2020,,Abandoned,,,,Pennsylvania,Northern America,Americas,"40,161667","-80,029167",Exact,,,,,,,,,N,N,N
M6036,103472,United States,Gurnee Surface Mine,,,"Camellia Met Mining, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Pea Ridge,,Alabama,Northern America,Americas,"33,174444","-86,980278",Approximate,,,,,,,,,N,N,N
M6037,4608939,United States,Guyan Mine,,,ERP Environmental Fund Inc.,,,,,,,Surface,,"3,71",75,Estimate,,,Bituminous,,,2022,,,,Yolyn,,West Virginia,Northern America,Americas,"37,8125","-81,776389",Approximate,,,,,,,,,N,N,N
M6038,4609270,United States,Guyandotte Energy Slope Mine #2,,,"Spartan Mining Company, LLC",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2017,,,,Pineville,,West Virginia,Northern America,Americas,"37,576389","-81,570278",Approximate,,,,,,,,,N,N,N
M6039,3402081,United States,H & H,,,Brakefield Equipment Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Alluwe,,Oklahoma,Northern America,Americas,"36,668056","-95,441667",Approximate,,,,,,,,,N,N,N
M6040,1508414,United States,H-1 Mine,,,Harlan Cumberland Coal Company,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2015,,Abandoned,,Dione,,Kentucky,Northern America,Americas,"36,9375","-83,090833",Approximate,,,,,,,,,N,N,N
M1613,4407318,United States,Hackney Creek Hagy Coal Mine,,,Banner Blue Coal Company,,Metinvest B V,The Netherlands,,,,Underground,,,373,Estimate,136,Exact,Bituminous,,2014,2023,,Abandoned,Appalachia,Big Rock,,Virginia,Northern America,Americas,"37,373202","-82,201092",Exact,,,,,,,,,N,N,N
M6042,4407287,United States,Hagy Deep Mine #1,,,"Mill Creek Mining, Inc.",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,Abandoned,,Clinchco,,Virginia,Northern America,Americas,"37,158333","-82,317778",Approximate,,,,,,,,,N,N,N
M6043,1518980,United States,Hampton Branch Mine,,,"Revelation Energy, LLC.",,,,,,,Surface,,"5,94",75,Estimate,,,Bituminous,,,2020,,Abandoned,,Grethel,,Kentucky,Northern America,Americas,"37,472222","-82,688056",Approximate,,,,,,,,,N,N,N
M6044,4609445,United States,Hampton Mine,,,Wolf Run Mining LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,Abandoned,,Buckhannon,,West Virginia,Northern America,Americas,"38,9275","-80,232778",Approximate,,,,,,,,,N,N,N
M6045,1519408,United States,Hance Mine No. 1,,,"Tennco Energy, Inc.",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2015,,,,Hulen,,Kentucky,Northern America,Americas,"36,754444","-83,51",Approximate,,,,,,,,,N,N,N
M6046,4609402,United States,Hanlin Mine,,,Vindex Energy LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2016,,Abandoned,,Mt. Storm,,West Virginia,Northern America,Americas,"39,308333","-79,286111",Approximate,,,,,,,,,N,N,N
M6047,1517481,United States,Hardshell Tipples Mine #1,,,Hardshell Tipples Inc.,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,,,Mayking,,Kentucky,Northern America,Americas,"37,126111","-82,75",Approximate,,,,,,,,,N,N,N
M6048,3610128,United States,Harmer Refuge Site,,,Ridge Energy Company Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,Harmerville,,pennsylvania,Northern America,Americas,"40,535278","-79,8475",Approximate,,,,,,,,,N,N,N
M2785,3609477,United States,Harmony Coal Mine,,,Rosebud Mining Co,,natural persons [100%],USA,,"0,03",2025,Underground,,,373,Estimate,21,Exact,Bituminous,Thermal & Met,2008,2026,,,Appalachia,La Jose,Clearfield County,Pennsylvania,Northern America,Americas,"40,779167","-78,711389",Exact,,,,,,TRUE,,,Y,N,N
M6049,4601271,United States,Harris No 1,,,Rockwell Mining LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,Abandoned,,Wharton,,West Virginia,Northern America,Americas,"37,809167","-81,599167",Approximate,,,,,,,,,N,N,N
M6050,4407104,United States,Hatfield,,,"Harold Keene Coal Co., Inc.",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,Abandoned,,Honaker,,Virginia,Northern America,Americas,"37,085833","-81,981389",Approximate,,,,,,,,,N,N,N
M6051,4609254,United States,Hatfield Energy Mine,,,"Lexington Coal Company, LLC",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,Abandoned,,Matewan,,West Virginia,Northern America,Americas,"37,716944","-82,005556",Approximate,,,,,,,,,N,N,N
M6052,1518716,United States,Hatfield Gap Surface Mine,,,"TackettCreek Mining, Inc.",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Williamsburg,,Kentucky,Northern America,Americas,"36,601111","-83,925278",Approximate,,,,,,,,,N,N,N
M6053,1519816,United States,Hayes Gap,,,Loudermilk Contracting Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Barvourville,,Kentucky,Northern America,Americas,"36,789722","-83,878889",Approximate,,,,,,,,,N,N,N
M6054,1518777,United States,Hazard Job #6,,,B & W Resources Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Hazard,,Kentucky,Northern America,Americas,"37,295833","-83,195556",Approximate,,,,,,,,,N,N,N
M7090,3609388,United States,Hazleton Shaft Strip Mine,,,PT Delta Dunia Makmur Tbk,,"Atlantic Carbon Group, Inc.",,,,,Surface,,,75,Estimate,,,Anthracite,,,2024,,Abandoned,,,,Pennsylvania,Northern America,Americas,"40,959722","-75,952778",Approximate,,,,,,,,,N,N,N
M6055,3609680,United States,Henry Mine,,,Mashuda Corporation,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Ellwood City,,Pennsylvania,Northern America,Americas,"40,854167","-80,211667",Approximate,,,,,,,,,N,N,N
M6056,3606678,United States,Heritage #1,,,Heritage Mining Company,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,Wilbur,,Pennsylvania,Northern America,Americas,"40,2025","-78,802222",Approximate,,,,,,,,,N,N,N
M2762,4608802,United States,Hernshaw Coal Mine,,,Aracoma Coal Co,,Alpha Metallurgical Resources,USA,,,,Underground,,,373,Estimate,53,Exact,Bituminous,,1999,2024,,,Appalachia,Lyburn,Logan County,West Virginia,Northern America,Americas,"37,814502","-81,906814",Exact,,,,,,FALSE,,,N,N,N
M6057,1202469,United States,High Point Mine,,,United Minerals Company LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Elberfeld,,Indiana,Northern America,Americas,"38,136111","-87,361389",Approximate,,,,,,,,,N,N,N
M6058,4406951,United States,High Splint Surface Mine No 1,,,Matt Mining Company Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Appalachia,,Virginia,Northern America,Americas,"37,040833","-82,73",Approximate,,,,,,,,,N,N,N
M7091,4606558,United States,Highland Coal Handling Facility,,,Alpha Metallurgical Resources Inc,,Highland Mining Company,,,,,Underground,,,373,Estimate,,,Bituminous,,,2024,,Abandoned,,,,West Virginia,Northern America,Americas,"37,815","-81,903333",Approximate,,,,,,,,,N,N,N
M6059,1519525,United States,Highsplint #1,,,Robert Clear Coal Corporation,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,,,Highsplint,,Kentucky,Northern America,Americas,"36,868611","-83,071111",Approximate,,,,,,,,,N,N,N
M6060,1519457,United States,Highsplint Strip #1 Dixie 21,,,Dixie Fuel Company LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2023,,,,Highsplint,,Kentucky,Northern America,Americas,"36,8075","-83,295278",Approximate,,,,,,,,,N,N,N
M6061,1519456,United States,Highsplint Strip #3 Dixie 30,,,Dixie Fuel Company LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2023,,,,Highsplint,,Kentucky,Northern America,Americas,"36,8075","-83,295278",Approximate,,,,,,,,,N,N,N
M3479,1519455,United States,Highsplint Strip Job #26 Mine,,,4TH Gen Fuels LLC,,natural persons [100%],USA,,"0,02",,Surface,Open Pit,"0,05",75,Estimate,33,Estimate,Bituminous,,2009,2022,,Abandoned,,,,Kentucky,Northern America,Americas,"36,8075","-83,295278",Exact,,,,,,,,,N,N,N
M6063,1519512,United States,Highwall Miner # 37,,,"Fox Knob Coal Co, Inc.",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,harlan,,Kentucky,Northern America,Americas,"36,822778","-83,450278",Approximate,,,,,,,,,N,N,N
M6064,3606253,United States,Hill Strip,,,T L Hill Coal Company,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,York Run,,Pennsylvania,Northern America,Americas,"39,829167","-79,775",Approximate,,,,,,,,,N,N,N
M6065,3610033,United States,Hillside-Edgerton Mine,,,"McClure Enterprises, Inc.",,,,,,,Surface,,,75,Estimate,,,Anthracite,,,2017,,Abandoned,,Mayfield Boro.,,Pennsylvania,Northern America,Americas,"40,709722","-76,249722",Approximate,,,,,,,,,N,N,N
M6066,1202433,United States,Hilsmeyer #2,,,"Sun Energy Group, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,"Stendal, IN",,Indiana,Northern America,Americas,"38,264167","-87,108056",Approximate,,,,,,,,,N,N,N
M2591,1202425,United States,Hilsmeyer Coal Mine,,,Sun Energy Group LLC,,natural persons [100%],USA,,0,,Surface,Open Pit,,75,Estimate,,Estimate,Bituminous,,2009,2023,,,Illinois Basin,,Dubois County,Indiana,Northern America,Americas,"38,269444","-87,068611",Exact,,,,,,,,,N,N,N
M6068,3609564,United States,Hiner Mine,,,P & N Coal Company Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Sugarcreek Township,,Pennsylvania,Northern America,Americas,"40,911111","-79,656111",Approximate,,,,,,,,,N,N,N
M6069,4406920,United States,Hiram Fork,,,Banner Blue Coal Company,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2021,,,,Wolford,,Virginia,Northern America,Americas,"37,349167","-82,002222",Approximate,,,,,,,,,N,N,N
M7092,103595,United States,HMS 30,,,,,"HIGHLAND ENERGY, iNC.",,,,,Surface,,,75,Estimate,,,Bituminous,,,2024,,Abandoned,,,,Alabama,Northern America,Americas,"33,588333","-87,06",Approximate,,,,,,,,,N,N,N
M6070,3606438,United States,Hoffman No 1,,,Hoffman Mining Inc,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Stoystown,,Pennsylvania,Northern America,Americas,"40,097222","-78,884722",Approximate,,,,,,,,,N,N,N
M7093,4608584,United States,Holden No 22 Surface Mine,,,Richard H Abraham,,Rio Group Inc,,,,,Surface,,,75,Estimate,,,Bituminous,,,2024,,Abandoned,,,,West Virginia,Northern America,Americas,"37,736944","-82,093333",Approximate,,,,,,,,,N,N,N
M6071,1515289,United States,Hollybush Mine,,,Quest Energy Corp.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Pippa Passes,,Kentucky,Northern America,Americas,"37,307222","-82,844722",Approximate,,,,,,,,,N,N,N
M3483,4609540,United States,Hominy 1 Surface Mine,,,Quinwood Coal Co,,natural persons [100%],USA,13,0,,Surface,Open Pit,,75,Estimate,3,Exact,Bituminous,,2017,2025,,,,Leivasy,Nicholas County,West Virginia,Northern America,Americas,"38,173611","-80,722222",Exact,,,,,,,,,N,N,N
M6072,4609266,United States,Hominy Creek Mine,,,White Buck Coal Company,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2015,,,,Leivasy,,West Virginia,Northern America,Americas,"38,164167","-80,715278",Approximate,,,,,,,,,N,N,N
M6073,1519225,United States,Hoods Fork,,,James River Coal Service Company,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,McDowell,,Kentucky,Northern America,Americas,"37,773889","-82,699167",Approximate,,,,,,,,,N,N,N
M6074,4202074,United States,Horizon Mine,,,Hidden Splendor Resources Inc,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2018,,,,,,Utah,Northern America,Americas,"39,693889","-111,053056",Approximate,,,,,,,,,N,N,N
M7094,4609348,United States,Horse Creek No 1,,,Alpha Metallurgical Resources Inc,,"Brooks Run South Mining, LLC",,,,,Underground,,,373,Estimate,,,Bituminous,,,2024,,Abandoned,,,,West Virginia,Northern America,Americas,"37,447778","-81,851389",Approximate,,,,,,,,,N,N,N
M6075,1519612,United States,House Branch Surface Mine #1,,,BER Coal LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Manchester,,Kentucky,Northern America,Americas,"37,115556","-83,826111",Approximate,,,,,,,,,N,N,N
M6076,3609792,United States,HSWP Botanic Garden No. 2,,,Mashuda Corporation,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Oakdale,,Pennsylvania,Northern America,Americas,"40,398056","-80,185556",Approximate,,,,,,,,,N,N,N
M6077,1519266,United States,Hubble No. 7,,,Hubble Mining Co. LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2015,,,,Rockhouse,,Kentucky,Northern America,Americas,"37,335278","-82,455556",Approximate,,,,,,,,,N,N,N
M6078,1519792,United States,Hubbs Holllow,,,Mountainside Coal Company,,,,,,,Surface,,"1,69",75,Estimate,,,Bituminous,,,2022,,Abandoned,,Barbourville,,Kentucky,Northern America,Americas,"36,815556","-84,016667",Approximate,,,,,,,,,N,N,N
M6079,3609932,United States,Hudson Bank No. 1 Operation,,,Hudson Anthracite Inc,,,,,,,Surface,,,75,Estimate,,,Anthracite,,,2017,,Abandoned,,Inkerman,,Pennsylvania,Northern America,Americas,"41,291667","-75,802778",Approximate,,,,,,,,,N,N,N
M6080,4609293,United States,Hunter Peerless Mine,,,"Elk Run Coal Company, LLC",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2017,,,,Sylvester,,West Virginia,Northern America,Americas,"38,001111","-81,492222",Approximate,,,,,,,,,N,N,N
M6081,4407329,United States,Hurrican Fork GOBCO #10,,,Mountain Fuels Inc.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Carbo,,Virginia,Northern America,Americas,"36,989722","-82,1725",Approximate,,,,,,,,,N,N,N
M6082,1202325,United States,Hurricane Creek,,,Triad Mining LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Oakland City,,Indiana,Northern America,Americas,"38,283056","-87,25",Approximate,,,,,,,,,N,N,N
M7095,3609054,United States,Huskin Mine,,,Franklin S Schall,,Northern Son Inc,,,,,Surface,,,75,Estimate,,,Bituminous,,,2024,,Abandoned,,,,Pennsylvania,Northern America,Americas,"40,852778","-78,384722",Approximate,,,,,,,,,N,N,N
M2648,3304709,United States,Hwm 36 Coal Mine,,,Commonwealth Mining,,Cox Enterprises [50.00%]; SDC [50.00%],USA,,"0,07",,Surface,Open Pit,"0,09",75,Estimate,8,Exact,Bituminous,,,2022,,Abandoned,Appalachia,,,Kentucky,Northern America,Americas,"37,111323","-82,934071",Exact,,,,,,,,,N,N,N
M7096,4608810,United States,HWM Job #24,,,Horizon Natural Resources Incorporated,,Mining Technologies Inc,,,,,Surface,,,75,Estimate,,,Bituminous,,,2024,,Abandoned,,,,West Virginia,Northern America,Americas,"37,853056","-82,238333",Approximate,,,,,,,,,N,N,N
M3490,1519808,United States,Hyden Development East 1 Mine,,,Hyden Development East,,natural persons [100%],USA,,,,Surface,Open Pit,,75,Estimate,,Estimate,Bituminous,,,,,,,,Leslie County,Kentucky,Northern America,Americas,"36,963056","-83,316944",Exact,,,,,,,,,N,N,N
M6084,1519764,United States,Hyden Spur #16,,,B&W Resources Inc.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Hyden,,Kentucky,Northern America,Americas,"37,171111","-83,408611",Approximate,,,,,,,,,N,N,N
M6085,3609593,United States,Hynoski Bros Centralia Mine,,,Hynoski Bros Excavating Inc,,,,,,,Surface,,,75,Estimate,,,Anthracite,,,2019,,Abandoned,,Centralia,,Pennsylvania,Northern America,Americas,"40,808056","-76,326111",Approximate,,,,,,,,,N,N,N
M3491,3608684,United States,Hynoski Bros Shenandoah Strip Mine,,,Hynoski Brothers Excavating Inc,,Hynoski Brothers Excavating,USA,,,,Surface,Open Pit,,75,Estimate,,Estimate,Anthracite,,,,,,,,Schuylkill County,Pennsylvania,Northern America,Americas,"40,816389","-76,233889",Exact,,,,,,,,,N,N,N
M7097,1519640,United States,Ice Road Mine,,,Juda L Niece,,"Triple J Contracting, LLC",,,,,Surface,,,75,Estimate,,,Bituminous,,,2024,,Abandoned,,,,Kentucky,Northern America,Americas,"37,1075","-82,873056",Approximate,,,,,,,,,N,N,N
M6086,4609420,United States,Ike Fork 5 Block Deep Mine,,,"Straight Arrow Ventures, LLC",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2022,,Abandoned,,Bickmore,,West Virginia,Northern America,Americas,"38,374722","-80,989444",Approximate,,,,,,,,,N,N,N
M6087,4609115,United States,Imperial Mine,,,Wolf Run Mining LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2016,,,,Tallmansville,,West Virginia,Northern America,Americas,"38,901389","-80,218611",Approximate,,,,,,,,,N,N,N
M6088,3608620,United States,Indiana County,,,Rosebud Mining Company,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Indiana,,Pennsylvania,Northern America,Americas,"40,564722","-79,092778",Approximate,,,,,,,,,N,N,N
M6089,3609891,United States,Indiana County Strips,,,Forcey Coal Inc.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Purchase Line,,Pennsylvania,Northern America,Americas,"40,744444","-78,841667",Approximate,,,,,,,,,N,N,N
M6090,1102668,United States,Industry Mine,,,Springfield Coal Company LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Industry,,Illinois,Northern America,Americas,"40,295","-90,717778",Approximate,,,,,,,,,N,N,N
M6091,1518922,United States,Infinity Surface Mine #1,,,FR Performance LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Bledsoe,,Kentucky,Northern America,Americas,"36,918333","-83,345",Approximate,,,,,,,,,N,N,N
M6092,1519215,United States,Infinity Surface Mine #2,,,FR Performance LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2019,,Abandoned,,Bledsoe,,Kentucky,Northern America,Americas,"36,930556","-83,308889",Approximate,,,,,,,,,N,N,N
M6093,1519216,United States,Infinity Surface Mine #3,,,FR Performance LLC,,,,,,,Surface,,"0,2",75,Estimate,,,Bituminous,,,2023,,,,Bledsoe,,Kentucky,Northern America,Americas,"36,926389","-83,337222",Approximate,,,,,,,,,N,N,N
M3492,1519885,United States,Insull Ridge Mine,,,Nally & Hamilton Enterprises,,Nally & Hamilton Enterprises,USA,,"0,03",,Surface,Open Pit,"0,31",75,Estimate,38,Estimate,Bituminous,,2020,2021,,Abandoned,,,,Kentucky,Northern America,Americas,"36,731667","-83,504722",Exact,,,,,,,,,N,N,N
M6095,4407205,United States,Integrity,,,Banner Blue Coal Company,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2020,,Abandoned,,Grundy,,Virginia,Northern America,Americas,"37,328333","-82,066944",Approximate,,,,,,,,,N,N,N
M6096,1519759,United States,Isom Surface #1,,,"Triton Energy Coal, Inc.",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Isom,,Kentucky,Northern America,Americas,"37,166667","-82,876944",Approximate,,,,,,,,,N,N,N
M6097,3609868,United States,J & J Strips,,,J & J Snyder Inc.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,New Bethlehem,,Pennsylvania,Northern America,Americas,"40,971944","-79,2675",Approximate,,,,,,,,,N,N,N
M7098,3609476,United States,J A T Strippings,,,James E Shingara Sr; Thomas D Shingara; Albert Shingara,,J A T Mining,,,,,Surface,,,75,Estimate,,,Anthracite,,,2024,,Abandoned,,,,Pennsylvania,Northern America,Americas,"40,778333","-76,647222",Approximate,,,,,,,,,N,N,N
M7099,1202458,United States,J C # 2 Mine,,,,,Jarvis Coal LLC,,,,,Underground,,,373,Estimate,,,Bituminous,,,2024,,Abandoned,,,,Indiana,Northern America,Americas,"39,163056","-87,198889",Approximate,,,,,,,,,N,N,N
M6098,4609353,United States,Jackson Bridge 1,,,Brooks Run Mining Company LLC,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2019,,,,Prestonia,,West Virginia,Northern America,Americas,"38,544722","-80,658333",Approximate,,,,,,,,,N,N,N
M6099,1800170,United States,Jackson Mountain,,,Vindex Energy LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,Barton,,Maryland,Northern America,Americas,"39,520556","-78,987222",Approximate,,,,,,,,,N,N,N
M6100,3610080,United States,Jackson Street Mine,,,D & L Reality,,,,,,,Surface,,,75,Estimate,,,Anthracite,,,2017,,Abandoned,,Dunmore,,Pennsylvania,Northern America,Americas,"40,816389","-76,257778",Approximate,,,,,,,,,N,N,N
M6101,1519006,United States,Jaden #1,,,Twilight Energy LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Hindman,,Kentucky,Northern America,Americas,"37,320278","-82,968889",Approximate,,,,,,,,,N,N,N
M6102,1518526,United States,Jakes Branch Job,,,Pine Branch Mining LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Chavies,,Kentucky,Northern America,Americas,"37,286389","-83,296667",Approximate,,,,,,,,,N,N,N
M6103,102996,United States,Jap Creek Mine,,,"Mays Mining, Inc.",,,,,,,Surface,,"2,16",75,Estimate,,,Bituminous,,,2021,,Abandoned,,Goodsprings,,Alabama,Northern America,Americas,"33,698889","-87,232222",Approximate,,,,,,,,,N,N,N
M6104,1518197,United States,Jarisa Cave Spur Mine,,,Jarisa Inc.,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2015,,,,Cumberland,,Kentucky,Northern America,Americas,"36,926667","-83,007778",Approximate,,,,,,,,,N,N,N
M6105,1202414,United States,JC #3,,,Jarvis Coal LLC,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Coalmont,,Indiana,Northern America,Americas,"39,221389","-87,188611",Approximate,,,,,,,,,N,N,N
M6106,1519678,United States,JC-1,,,"Ember Energy, LLC",,,,,,,Surface,,"1,69",75,Estimate,,,Bituminous,,,2021,,Abandoned,,Williamsport,,Kentucky,Northern America,Americas,"37,807847","-82,712981",Approximate,,,,,,,,,N,N,N
M6107,3302127,United States,Jefferson Pits,,,Rosebud Mining Company,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Bergholz,,Ohio,Northern America,Americas,"40,483611","-80,867222",Approximate,,,,,,,,,N,N,N
M6108,1519507,United States,Jellico #1,,,"T & T Energy, LLC",,,,,,,,,,,,,,,,,2020,,Abandoned,,Fonde,,Kentucky,Northern America,Americas,"36,5949624","-83,8769921",Approximate,,,,,,,,,N,N,N
M6109,1519336,United States,Jellico No.1,,,Bell Energy Partners LLC.,,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2023,,Abandoned,,Middlesboro,,Kentucky,Northern America,Americas,"36,594167","-83,768333",Approximate,,,,,,,,,N,N,N
M6110,1519768,United States,Jennie Branch Mine,,,"Tennco, Inc.",,,,,,,Underground,,,373,Estimate,,,Bituminous,,,2019,,Abandoned,,Miracle,,Kentucky,Northern America,Americas,"36,725278","-83,544722",Approximate,,,,,,,,,N,N,N
M6111,4103164,United States,Jewett Coal Mine,NRG Jewett Mine,,Westmoreland Coal Company,,,,"6,5","4,764",2014,Surface,Open Pit,"141,6",75,Estimate,250,Exact,Lignite,Thermal,1985,2018,Other,Rehabilitation,,Jewett,,Texas,Northern America,Americas,"31,40753226","-96,2404142",Exact,Coal Plant,Limestone Generating Station,https://www.gem.wiki/Limestone_Generating_Station,,,,,,N,N,N
M3496,1519748,United States,JF AML Stabilization and Reclamation Mine,,,Jigsaw Enterprises LLC,,natural persons [100%],USA,,"0,08",,Surface,Open Pit,"1,71",75,Estimate,17,Estimate,Bituminous,,2014,2022,,Abandoned,,,,Kentucky,Northern America,Americas,"37,741123","-82,823461",Exact,,,,,,,,,N,N,N
M6113,1519587,United States,Job -1,,,Stone Ridge Resources Inc.,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Mayking,,Kentucky,Northern America,Americas,"37,214722","-82,805556",Approximate,,,,,,,,,N,N,N
M6114,4407201,United States,Job #15 Surface,,,A & G Coal Corporation,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2017,,Abandoned,,Appalachia,,Virginia,Northern America,Americas,"36,952222","-82,750556",Approximate,,,,,,,,,N,N,N
M6115,1518823,United States,Job #42,,,"Premier Elkhorn Coal Company, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Robinson Creek,,Kentucky,Northern America,Americas,"37,366944","-82,551944",Approximate,,,,,,,,,N,N,N
M6116,1519171,United States,Job #5,,,A & G Coal Corporation,,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2016,,Abandoned,,Cranks,,Kentucky,Northern America,Americas,"36,765","-83,144167",Approximate,,,,,,,,,N,N,N
M6117,1519145,United States,Job #59 Pond Knob Surface,,,"Premier Elkhorn Coal, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2018,,Abandoned,,Elkhorn City,,Kentucky,Northern America,Americas,"37,295556","-82,654444",Approximate,,,,,,,,,N,N,N
M6118,1519556,United States,Job #8,,,"Mountain Source Energy, LLC",,,,,,,Surface,,,75,Estimate,,,Bituminous,,,2015,,Abandoned,,Sandy Hook,,Kentucky,Northern America,Americas,"38,053611","-83,076667",Approximate,,,,,,,,,N,N,N
